district,murder,year
GADCHIROLI,0,2001
GONDIA,0,2001
HINGOLI,0,2001
JALGAON,0,2001
JALNA,0,2001
KOLHAPUR,0,2001
LATUR,0,2001
MUMBAI,0,2001
"MUMBAI RLY.",0,2001
"NAGPUR COMMR.",0,2001
"NAGPUR RURAL",0,2001
NANDED,0,2001
NANDURBAR,0,2001
"NASIK COMMR.",0,2001
"NAVI MUMBAI",0,2001
OSMANABAD,0,2001
PARBHANI,0,2001
"PUNE COMMR.",0,2001
"PUNE RLY.",0,2001
RAIGAD,0,2001
RATNAGIRI,0,2001
SANGLI,0,2001
SATARA,0,2001
SINDHUDURG,0,2001
"SOLAPUR COMMR.",0,2001
"SOLAPUR RURAL",0,2001
"THANE COMMR.",0,2001
"THANE RURAL",0,2001
WARDHA,0,2001
WASHIM,0,2001
YAVATMAL,0,2001
BISHNUPUR,0,2001
CHANDEL,0,2001
CHURACHANDPUR,0,2001
IMPHAL(EAST),0,2001
IMPHAL(WEST),0,2001
SENAPATI,0,2001
TAMENGLONG,0,2001
THOUBAL,0,2001
UKHRUL,0,2001
"GARO HILLS EAST",0,2001
"GARO HILLS SOUTH",0,2001
"GARO HILLS WEST",0,2001
"JAINTIA HILLS",0,2001
"KHASI HILLS EAST",0,2001
"KHASI HILLS WEST",0,2001
RI-BHOI,0,2001
AIZAWL,0,2001
CHAMPHAI,0,2001
KOLASIB,0,2001
LAWNGTLAI,0,2001
LUNGLEI,0,2001
MAMIT,0,2001
SAIHA,0,2001
SERCHHIP,0,2001
DIMAPUR,0,2001
KIPHIRE,0,2001
MOKOKCHUNG,0,2001
PEREN,0,2001
TUENSANG,0,2001
ANGUL,0,2001
BALASORE,0,2001
BARAGARH,0,2001
BERHAMPUR,0,2001
BHADRAK,0,2001
BOUDH,0,2001
CUTTACK,0,2001
DEOGARH,0,2001
DHENKANAL,0,2001
GANJAM,0,2001
JAGATSINGHPUR,0,2001
JAJPUR,0,2001
JHARSUGUDA,0,2001
KALAHANDI,0,2001
KANDHAMAL,0,2001
KENDRAPARA,0,2001
KEONJHAR,0,2001
KHURDA,0,2001
KORAPUT,0,2001
MALKANGIR,0,2001
MAYURBHANJ,0,2001
NAYAGARH,0,2001
NOWRANGPUR,0,2001
NUAPADA,0,2001
PURI,0,2001
RAYAGADA,0,2001
ROURKELA,0,2001
SAMBALPUR,0,2001
SONEPUR,0,2001
SRP(CUTTACK),0,2001
SRP(ROURKELA),0,2001
